class_name,calories,protein_g,carbs_g,fat_g,fiber_g,serving_size_g,ingredients
burger,295,17.0,34.0,12.0,2.0,200,"bun, patty, lettuce, tomato, cheese, sauce"
chai,105,3.5,15.0,3.5,0.0,200,"tea leaves, milk, sugar, spices"
chapati,120,3.5,20.0,3.5,2.5,40,"whole wheat flour, water"
fried_rice,310,8.0,48.0,10.0,2.5,250,"rice, vegetables, soy sauce, oil, egg"
kaathi_rolls,350,16.0,35.0,16.0,3.0,200,"paratha, chicken/paneer, onion, spices, chutney"
kulfi,240,5.0,28.0,12.0,0.5,100,"milk, sugar, nuts, cardamom, saffron"
momos,200,10.0,28.0,6.0,1.5,150,"flour, vegetables/chicken, spices"
paani_puri,180,3.0,28.0,6.0,2.0,100,"puri, potato, chickpeas, spicy water"
pakode,280,6.0,26.0,16.0,2.5,100,"besan, vegetables, spices, oil"
pizza,270,12.0,33.0,10.0,2.0,150,"flour, cheese, tomato sauce, toppings"
samosa,262,5.2,32.8,12.8,2.1,100,"wheat flour, potato, spices, oil"
masala_dosa,210,5.0,34.0,6.0,2.5,150,"rice, urad dal, potato, onion, spices"
idli,90,4.0,18.0,0.5,1.2,80,"rice, urad dal"
butter_chicken,438,28.0,12.0,32.0,1.5,250,"chicken, butter, tomato, cream, spices"
biryani,520,30.0,60.0,14.0,2.0,350,"rice, chicken/mutton, spices, yogurt, onion"
paneer_butter_masala,380,18.0,22.0,28.0,3.0,250,"paneer, butter, tomato, cream, spices"
chole_bhature,550,15.0,70.0,22.0,8.0,300,"chickpeas, refined flour, spices, oil"
pav_bhaji,400,10.0,55.0,16.0,7.0,300,"mixed vegetables, pav, butter, spices"
dal_makhani,320,14.0,28.0,18.0,9.0,250,"black lentils, kidney beans, butter, cream"
aloo_paratha,290,6.0,42.0,11.0,4.0,150,"wheat flour, potato, spices, ghee"
chicken_tikka,280,32.0,6.0,14.0,1.0,200,"chicken, yogurt, spices"
palak_paneer,310,16.0,12.0,24.0,4.0,250,"spinach, paneer, cream, spices"
dosa,133,3.0,25.0,2.5,1.5,100,"rice, urad dal"
vada,180,5.0,22.0,8.0,2.0,80,"urad dal, spices, oil"
upma,190,5.0,28.0,6.0,3.0,150,"semolina, vegetables, spices"
poha,200,4.0,38.0,4.0,2.5,150,"flattened rice, onion, spices, oil"
jalebi,300,3.0,55.0,9.0,0.5,100,"refined flour, sugar syrup, ghee"
gulab_jamun,320,5.0,48.0,12.0,0.8,100,"milk solids, sugar syrup, ghee"
rasgulla,186,4.0,38.0,1.5,0.2,100,"chhena, sugar syrup"
kheer,220,6.0,32.0,8.0,0.5,150,"rice, milk, sugar, nuts"
rajma,240,12.0,35.0,5.0,9.0,250,"kidney beans, onion, tomato, spices"
kadhi_pakora,210,8.0,22.0,10.0,2.0,250,"besan, yogurt, spices, oil"
bhindi_masala,160,4.0,14.0,10.0,5.0,200,"okra, onion, spices, oil"
baingan_bharta,180,4.0,16.0,12.0,6.0,200,"eggplant, onion, tomato, spices"
fish_curry,280,28.0,8.0,16.0,1.5,250,"fish, coconut, spices"
egg_curry,250,18.0,10.0,16.0,2.0,250,"eggs, onion, tomato, spices"
naan,270,8.0,45.0,5.0,2.0,90,"refined flour, yeast, yogurt"
roti,80,3.0,15.0,1.0,2.5,30,"whole wheat flour"
paratha,180,4.0,26.0,6.0,3.0,60,"wheat flour, ghee"
puri,110,2.0,14.0,5.0,1.0,30,"wheat flour, oil"
medu_vada,190,6.0,20.0,9.0,2.5,80,"urad dal, spices, oil"
uttapam,160,5.0,28.0,3.0,2.0,120,"rice, urad dal, onion, tomato"
appam,150,3.0,30.0,2.0,1.5,100,"rice, coconut"
puttu,180,4.0,35.0,2.5,3.0,150,"rice flour, coconut"
lemon_rice,280,5.0,48.0,8.0,2.0,200,"rice, lemon, spices, oil"
curd_rice,220,6.0,35.0,6.0,1.0,200,"rice, yogurt, spices"
tandoori_chicken,250,35.0,4.0,10.0,0.5,200,"chicken, yogurt, spices"
seekh_kebab,280,26.0,5.0,18.0,1.0,150,"minced meat, spices"
malai_kofta,380,12.0,25.0,28.0,3.0,250,"paneer, potato, cream, spices"
shahi_paneer,360,16.0,18.0,28.0,2.0,250,"paneer, cream, nuts, spices"
kadai_paneer,320,15.0,14.0,24.0,3.0,250,"paneer, capsicum, onion, spices"
matar_paneer,290,14.0,18.0,20.0,5.0,250,"paneer, green peas, tomato, spices"
aloo_gobi,180,5.0,22.0,8.0,6.0,200,"potato, cauliflower, spices"
jeera_rice,240,5.0,48.0,4.0,1.5,200,"rice, cumin, ghee"
pulao,260,6.0,45.0,7.0,2.0,200,"rice, vegetables, spices"
khichdi,220,8.0,38.0,4.0,4.0,250,"rice, dal, spices"
misal_pav,450,15.0,55.0,18.0,8.0,300,"sprouts, pav, spices, farsan"
vada_pav,300,8.0,42.0,12.0,3.0,150,"potato, pav, spices, oil"
dabeli,280,6.0,40.0,11.0,3.0,120,"potato, pav, spices, peanuts"
sevpuri,220,4.0,30.0,10.0,3.0,100,"puri, sev, potato, chutney"
bhel_puri,250,5.0,38.0,9.0,4.0,150,"puffed rice, sev, vegetables, chutney"
dhokla,160,6.0,28.0,3.0,2.0,100,"besan, spices"
khandvi,140,5.0,18.0,5.0,1.5,80,"besan, buttermilk, spices"
thepla,120,3.0,18.0,4.0,2.0,40,"wheat flour, fenugreek, spices"
undhiyu,280,8.0,30.0,14.0,8.0,250,"mixed vegetables, spices, oil"
handvo,220,8.0,32.0,7.0,4.0,150,"rice, dal, vegetables, spices"
patra,180,4.0,25.0,7.0,3.0,100,"colocasia leaves, besan, spices"
modak,200,3.0,38.0,5.0,1.0,50,"rice flour, coconut, jaggery"
puran_poli,280,6.0,48.0,8.0,3.0,100,"wheat flour, chana dal, jaggery"
shrikhand,250,6.0,35.0,10.0,0.5,150,"yogurt, sugar, saffron, cardamom"
basundi,280,7.0,32.0,14.0,0.3,150,"milk, sugar, nuts"
rasmalai,260,8.0,28.0,12.0,0.2,120,"chhena, milk, sugar, saffron"
barfi,280,5.0,42.0,11.0,0.5,50,"milk solids, sugar, ghee"
laddoo,250,4.0,38.0,10.0,1.0,50,"besan/wheat, sugar, ghee"
halwa,300,4.0,45.0,12.0,1.5,100,"semolina/carrot, sugar, ghee"
payasam,240,5.0,40.0,7.0,0.5,150,"rice/vermicelli, milk, sugar, nuts"
chicken_biryani,550,32.0,58.0,18.0,2.0,400,"rice, chicken, spices, yogurt"
mutton_biryani,580,30.0,55.0,22.0,2.0,400,"rice, mutton, spices, yogurt"
veg_biryani,420,10.0,65.0,12.0,4.0,350,"rice, mixed vegetables, spices"
hyderabadi_biryani,560,28.0,60.0,20.0,2.0,400,"rice, meat, spices, fried onion"
lucknowi_biryani,540,26.0,58.0,19.0,2.0,400,"rice, meat, spices, saffron"
egg_biryani,480,22.0,55.0,16.0,2.0,350,"rice, eggs, spices"
fish_biryani,500,28.0,52.0,17.0,1.5,350,"rice, fish, spices"
prawn_biryani,490,26.0,50.0,18.0,1.5,350,"rice, prawns, spices"
keema,320,28.0,8.0,20.0,1.5,200,"minced meat, onion, spices"
rogan_josh,380,30.0,10.0,24.0,2.0,250,"mutton, yogurt, spices"
butter_naan,300,9.0,48.0,8.0,2.0,100,"refined flour, butter, yeast"
garlic_naan,290,8.0,46.0,7.0,2.0,95,"refined flour, garlic, butter"
laccha_paratha,250,5.0,35.0,10.0,2.5,80,"wheat flour, ghee"
roomali_roti,150,4.0,28.0,2.0,1.5,50,"wheat flour"
missi_roti,160,5.0,26.0,4.0,3.0,50,"wheat flour, besan, spices"
makki_roti,180,4.0,32.0,5.0,3.0,60,"maize flour"
bajra_roti,170,5.0,30.0,3.0,4.0,50,"pearl millet flour"
jowar_roti,160,4.0,28.0,3.0,3.5,50,"sorghum flour"
ragi_roti,155,4.0,27.0,2.5,4.0,50,"finger millet flour"
thali,650,25.0,80.0,22.0,10.0,500,"rice, dal, sabzi, roti, salad, papad"
south_indian_thali,580,20.0,85.0,15.0,8.0,450,"rice, sambar, rasam, vegetables, curd"
north_indian_thali,700,28.0,75.0,28.0,9.0,500,"roti, dal, sabzi, rice, raita"
gujarati_thali,620,18.0,90.0,18.0,10.0,480,"roti, dal, sabzi, rice, farsan, sweet"
punjabi_thali,720,30.0,70.0,32.0,8.0,520,"naan, dal makhani, sabzi, rice, lassi"
bengali_thali,600,22.0,78.0,20.0,6.0,450,"rice, fish/dal, sabzi, chutney"
rajasthani_thali,680,20.0,85.0,25.0,7.0,480,"roti, dal, gatte, ker sangri"
maharashtrian_thali,640,22.0,82.0,20.0,9.0,470,"bhakri, amti, sabzi, rice, salad"
kerala_thali,590,18.0,80.0,18.0,7.0,450,"rice, sambar, avial, thoran, pickle"
andhra_thali,610,20.0,78.0,22.0,6.0,460,"rice, pappu, fryums, pickles, curd"
goan_thali,580,24.0,70.0,20.0,5.0,440,"rice, fish curry, vegetables, pickle"
assamese_thali,550,18.0,75.0,15.0,6.0,430,"rice, dal, fish, vegetables"
odia_thali,560,16.0,80.0,14.0,5.0,420,"rice, dalma, vegetables, chutney"
kashmiri_thali,650,25.0,70.0,28.0,4.0,480,"rice, rogan josh, dum aloo, yogurt"
hyderabadi_thali,680,26.0,75.0,26.0,5.0,500,"biryani, mirchi ka salan, raita, dessert"
lucknowi_thali,660,24.0,72.0,25.0,4.0,480,"biryani, kebab, korma, dessert"
delhi_thali,700,28.0,78.0,28.0,7.0,510,"butter chicken, naan, dal, rice, raita"
mumbai_thali,630,20.0,85.0,20.0,8.0,490,"pav bhaji, vada pav style, rice, dal"
chennai_thali,570,16.0,88.0,12.0,7.0,450,"idli, dosa, sambar, chutney, rice"
bangalore_thali,590,18.0,82.0,16.0,8.0,460,"ragi mudde, sambar, vegetables, rice"
kolkata_thali,600,22.0,76.0,18.0,5.0,450,"rice, fish, dal, vegetables, mishti"
ahmedabad_thali,610,16.0,92.0,16.0,9.0,470,"thepla, undhiyu, dal, rice, farsan"
jaipur_thali,670,18.0,88.0,24.0,6.0,490,"dal baati churma, gatte, ker sangri"
pune_thali,620,20.0,80.0,18.0,8.0,460,"bhakri, pithla, sabzi, rice, salad"
indore_thali,640,19.0,85.0,20.0,7.0,470,"poha, jalebi, dal, sabzi, roti"
bhopal_thali,630,20.0,82.0,19.0,7.0,460,"rice, dal, sabzi, roti, raita"
nagpur_thali,650,22.0,78.0,22.0,6.0,480,"saoji, rice, roti, salad"
surat_thali,600,15.0,90.0,15.0,8.0,450,"undhiyu, thepla, dal, rice, farsan"
vadodara_thali,610,16.0,88.0,16.0,8.0,460,"thepla, undhiyu, dal, rice, sweet"
rajkot_thali,620,17.0,86.0,17.0,7.0,465,"bajra roti, undhiyu, dal, kadhi"
bhavnagar_thali,605,15.0,89.0,15.0,8.0,455,"bajri, undhiyu, dal, rice"
jamnagar_thali,615,16.0,87.0,16.0,7.0,460,"bajra, ker, dal, rice"
bikaner_thali,680,18.0,90.0,24.0,6.0,490,"bhujia, dal, baati, churma"
jodhpur_thali,690,19.0,88.0,25.0,5.0,495,"dal baati, ker sangri, gatte"
udaipur_thali,670,18.0,86.0,23.0,6.0,485,"dal baati, gatte, ker, rice"
ajmer_thali,660,17.0,87.0,22.0,6.0,480,"dal, baati, gatte, ker"
kota_thali,650,18.0,85.0,21.0,6.0,475,"dal, gatte, ker, rice"
alwar_thali,640,17.0,84.0,20.0,6.0,470,"dal, baati, gatte"
bharatpur_thali,630,16.0,83.0,19.0,6.0,465,"dal, baati, ker"
sikar_thali,655,18.0,86.0,22.0,5.0,480,"dal baati, gatte, ker"
churu_thali,665,18.0,87.0,23.0,5.0,485,"dal baati, gatte"
jhunjhunu_thali,660,17.0,86.0,22.0,5.0,480,"dal baati, ker"
nagaur_thali,670,18.0,88.0,23.0,5.0,490,"dal baati, gatte, ker"
pali_thali,680,19.0,89.0,24.0,5.0,495,"dal baati, gatte"
barmer_thali,690,18.0,90.0,25.0,5.0,500,"dal baati, ker, gatte"
jaisalmer_thali,700,19.0,91.0,26.0,4.0,510,"dal baati, ker, gatte, churma"
banswara_thali,640,17.0,84.0,20.0,6.0,470,"dal, baati, gatte"
dungarpur_thali,635,16.0,83.0,19.0,6.0,465,"dal, baati, ker"
pratapgarh_thali,645,17.0,85.0,20.0,6.0,475,"dal, baati, gatte"
chittorgarh_thali,650,18.0,85.0,21.0,6.0,480,"dal, baati, gatte, ker"
rajsamand_thali,655,18.0,86.0,21.0,6.0,485,"dal, baati, gatte"
sirohi_thali,660,18.0,87.0,22.0,5.0,490,"dal, baati, ker"
jalore_thali,670,18.0,88.0,23.0,5.0,495,"dal, baati, gatte, ker"
unknown,250,10.0,30.0,10.0,3.0,200,"mixed ingredients"
